iter	Logloss
0	0.6742313315
1	0.6569276418
2	0.6413523413
3	0.6281573444
4	0.6164871246
5	0.6028932927
6	0.5960714591
7	0.5862280063
8	0.5766100014
9	0.5676605213
10	0.561916046
11	0.5550863889
12	0.5490154517
13	0.541670534
14	0.5329425908
15	0.5265587897
16	0.5228723442
17	0.5115556374
18	0.5056617126
19	0.5031441314
20	0.4983494869
21	0.4903607032
22	0.4880306291
23	0.4839501796
24	0.4810389128
25	0.4787699458
26	0.477016288
27	0.4720752679
28	0.4700318216
29	0.4669094204
30	0.4649171923
31	0.4628290323
32	0.4618552354
33	0.4603692629
34	0.4571758138
35	0.4545059623
36	0.4476718586
37	0.4395633823
38	0.4382559882
39	0.4318344416
40	0.4310001516
41	0.4305449702
42	0.425756364
43	0.4228080748
44	0.4167442303
45	0.4140693791
46	0.4121357683
47	0.409865717
48	0.4080236649
49	0.4059506312
50	0.3974716845
51	0.3961948928
52	0.3933176416
53	0.3898509478
54	0.3876238182
55	0.3862770092
56	0.3852735158
57	0.381644717
58	0.3794984829
59	0.374658209
60	0.3730307853
61	0.3701893561
62	0.3686423993
63	0.3642815831
64	0.3587572287
65	0.357630363
66	0.3560254976
67	0.3552576538
68	0.3504748251
69	0.3493575758
70	0.3476085011
71	0.3470715122
72	0.3459866665
73	0.3403510089
74	0.3401602035
75	0.3375243346
76	0.3364352488
77	0.3341818008
78	0.33316563
79	0.3314871016
80	0.3266448809
81	0.3256378344
82	0.3246799555
83	0.3234680378
84	0.3229681486
85	0.3211873585
86	0.3191807742
87	0.3184437382
88	0.3176660688
89	0.3171124284
90	0.3157682649
91	0.312944829
92	0.3122620589
93	0.3110893525
94	0.3101878304
95	0.3094587639
96	0.3082532575
97	0.3074473728
98	0.3062618068
99	0.3055853812
100	0.3040184331
101	0.3027760153
102	0.3013507963
103	0.3006857601
104	0.300377065
105	0.2985207463
106	0.2975859995
107	0.2956735514
108	0.2946152076
109	0.2902394104
110	0.289446928
111	0.2889673453
112	0.2885416621
113	0.2880626705
114	0.2867994003
115	0.2858761461
116	0.2848561453
117	0.2811425541
118	0.2806847239
119	0.2787384948
120	0.278489276
121	0.2771312442
122	0.2765706426
123	0.2747354713
124	0.2734389786
125	0.2723400435
126	0.2713686793
127	0.2709088555
128	0.2701867855
129	0.2692252369
130	0.2677648951
131	0.266811273
132	0.266097883
133	0.2654693045
134	0.2645223375
135	0.2636883092
136	0.2628508713
137	0.2623686573
138	0.2620088293
139	0.2615451746
140	0.2608292571
141	0.2587059033
142	0.2581687775
143	0.2573323382
144	0.2563712083
145	0.2554915589
146	0.254336565
147	0.2537968087
148	0.2514755226
149	0.2492819908
150	0.2485192971
151	0.2472796038
152	0.246923673
153	0.2458995538
154	0.2441400698
155	0.2434081764
156	0.2427828862
157	0.242263837
158	0.2396709368
159	0.2390485951
160	0.2384733435
161	0.2377049256
162	0.2369970294
163	0.2344716459
164	0.2335034358
165	0.232995548
166	0.2324929162
167	0.2311307041
168	0.2295915658
169	0.2291652787
170	0.2285869545
171	0.2281881795
172	0.2280459947
173	0.2273527254
174	0.2267110533
175	0.2258114337
176	0.2233246496
177	0.2222889055
178	0.2215679665
179	0.2209005378
180	0.2202982788
181	0.2190698058
182	0.2176705207
183	0.2170196119
184	0.2164713483
185	0.2162226263
186	0.2156469203
187	0.2156216663
188	0.2150420675
189	0.2145141109
190	0.2137973756
191	0.2131148825
192	0.2124526326
193	0.2113498237
194	0.2094980525
195	0.2085388273
196	0.2079953777
197	0.2075645793
198	0.2069683795
199	0.2056696644
200	0.205424035
201	0.2046005883
202	0.2043749524
203	0.2036182651
204	0.2028179498
205	0.2020252984
206	0.2016702195
207	0.2011986586
208	0.2002098468
209	0.2000356636
210	0.199557561
211	0.1986932593
212	0.1977120412
213	0.1970089356
214	0.1964419049
215	0.1955477937
216	0.1953715185
217	0.1948173597
218	0.1945847385
219	0.1937911894
220	0.1927756367
221	0.1922583564
222	0.1919611543
223	0.1911116613
224	0.1899024514
225	0.1894313044
226	0.1887581298
227	0.1881995621
228	0.1875890923
229	0.1870790812
230	0.1866587272
231	0.1863570129
232	0.1859300038
233	0.185275832
234	0.1847108879
235	0.1839387625
236	0.1834947538
237	0.1831064097
238	0.182019979
239	0.1817528018
240	0.1815038049
241	0.1808435859
242	0.1805527923
243	0.1803535263
244	0.1797339831
245	0.1795455798
246	0.1793240257
247	0.1782437423
248	0.1776877826
249	0.1772314327
250	0.1769360772
251	0.176183565
252	0.1759538961
253	0.1754664244
254	0.1747060702
255	0.1743449753
256	0.1735730186
257	0.1732566227
258	0.172442942
259	0.1718162611
260	0.1714335158
261	0.1711206168
262	0.1708723243
263	0.1705746196
264	0.1703700401
265	0.1699431271
266	0.1691923432
267	0.1687407986
268	0.1684841321
269	0.1681716023
270	0.1678942466
271	0.167877192
272	0.1676726633
273	0.1672121483
274	0.1666947484
275	0.1664034718
276	0.1658698886
277	0.1653624083
278	0.1653330934
279	0.165157132
280	0.1639112339
281	0.1634642944
282	0.1627399523
283	0.1622243414
284	0.1620072727
285	0.1609542196
286	0.1604844087
287	0.1604782009
288	0.160074576
289	0.1597475077
290	0.1593378467
291	0.1588062202
292	0.1579787612
293	0.1576996062
294	0.157291105
295	0.1569269755
296	0.1564962986
297	0.156207178
298	0.1555898353
299	0.1552908837
300	0.1544911542
301	0.154207441
302	0.1534744953
303	0.1528535973
304	0.1519359547
305	0.1515141304
306	0.1508181674
307	0.1497828097
308	0.1493387001
309	0.1486907847
310	0.1483808001
311	0.1470120679
312	0.1467407092
313	0.1464516197
314	0.1454669178
315	0.1450520683
316	0.1447894081
317	0.1443939269
318	0.1436946131
319	0.1430330394
320	0.1428500826
321	0.142249862
322	0.1411818698
323	0.1405261578
324	0.1403465639
325	0.1385631287
326	0.1382146728
327	0.1374014022
328	0.1371497306
329	0.1367994279
330	0.135885535
331	0.1340772656
332	0.1337906912
333	0.1330512337
334	0.1324887107
335	0.1320174322
336	0.1306245548
337	0.1301086398
338	0.1294773453
339	0.1290505441
340	0.128596672
341	0.1283970817
342	0.1280487807
343	0.1274058962
344	0.1270578396
345	0.1265314778
346	0.1259429903
347	0.1257431497
348	0.1250340423
349	0.1245787685
350	0.1242328406
351	0.1238746106
352	0.1234272789
353	0.1228098523
354	0.1220558404
355	0.1217387044
356	0.1211009312
357	0.1203226482
358	0.1198315319
359	0.1187966697
360	0.1182520787
361	0.1177729752
362	0.1173792704
363	0.116976601
364	0.1166418437
365	0.1161279009
366	0.1156631578
367	0.1152379005
368	0.1147433916
369	0.1144600727
370	0.114042147
371	0.1136388763
372	0.1133189981
373	0.1127664571
374	0.1124876
375	0.112086232
376	0.1116472761
377	0.1112610225
378	0.1107585652
379	0.1103423242
380	0.1099577459
381	0.1094831276
382	0.1089337707
383	0.1085057328
384	0.1078875537
385	0.1072007726
386	0.1067475782
387	0.1064717883
388	0.105813673
389	0.1054580221
390	0.1052820356
391	0.1050186796
392	0.1046939303
393	0.1042937452
394	0.1038874284
395	0.1034476036
396	0.1032234475
397	0.1027977635
398	0.1023234325
399	0.1020375108
400	0.101754058
401	0.1012980255
402	0.1009432974
403	0.1004837605
404	0.1002170222
405	0.09976001727
406	0.09953320002
407	0.09847757207
408	0.0980692829
409	0.09774662353
410	0.09734299641
411	0.09695848092
412	0.09668860261
413	0.09624989499
414	0.09590373241
415	0.09563413818
416	0.09521312928
417	0.0947320969
418	0.09430810247
419	0.09415640571
420	0.09393620869
421	0.09364513877
422	0.09323391176
423	0.09303805151
424	0.09275545359
425	0.09222464901
426	0.09184884207
427	0.09139013061
428	0.09093457808
429	0.09053179815
430	0.08972834183
431	0.08935834126
432	0.08889364827
433	0.08861315398
434	0.0883578685
435	0.08818047554
436	0.08761503612
437	0.08735685763
438	0.08711528253
439	0.08678417427
440	0.08641594842
441	0.08613010577
442	0.08586223749
443	0.08512144324
444	0.08477091181
445	0.08454375276
446	0.08424998607
447	0.08380352134
448	0.08361289694
449	0.0831581227
450	0.08300422366
451	0.08267179148
452	0.08230575161
453	0.08177809209
454	0.08150587316
455	0.08119160081
456	0.080652928
457	0.08037122965
458	0.0801575307
459	0.07978119521
460	0.07952364757
461	0.07922491795
462	0.07885529369
463	0.0785456709
464	0.07820255319
465	0.07790988191
466	0.07766862062
467	0.07737662032
468	0.07722378601
469	0.07683110061
470	0.07628314312
471	0.07610050582
472	0.07559814833
473	0.07542771948
474	0.0751151445
475	0.07491434244
476	0.07468164008
477	0.07429272583
478	0.07399076894
479	0.07384256524
480	0.07350496616
481	0.07326152343
482	0.0730240837
483	0.07286149971
484	0.07261178977
485	0.07244508269
486	0.07223016226
487	0.07193614801
488	0.0717861192
489	0.07164694041
490	0.07133809614
491	0.07105196794
492	0.07060256333
493	0.07008450254
494	0.0699160277
495	0.06972883174
496	0.06949319801
497	0.06916301781
498	0.06900637567
499	0.06884032939
500	0.06844273801
501	0.06819360095
502	0.06793554044
503	0.06780363112
504	0.06756117409
505	0.06732150543
506	0.0670947594
507	0.06699625608
508	0.06680261733
509	0.06668683604
510	0.06648277363
511	0.06621107762
512	0.06599055809
513	0.0658419873
514	0.06541946616
515	0.06527371707
516	0.06509673298
517	0.06490466399
518	0.06471200647
519	0.06445851502
520	0.06432221178
521	0.06409566721
522	0.06392667172
523	0.06374010138
524	0.06355155508
525	0.06340771613
526	0.06317424574
527	0.06299017508
528	0.06275979864
529	0.0625686181
530	0.06238840414
531	0.06202196404
532	0.06191474093
533	0.06185733904
534	0.06164652645
535	0.0613938652
536	0.06129327127
537	0.06116738767
538	0.06098340976
539	0.060715587
540	0.06062003743
541	0.0604348821
542	0.06034696599
543	0.06025068147
544	0.0601184087
545	0.05992623384
546	0.0597506377
547	0.05950822617
548	0.05941857434
549	0.05923360311
550	0.05909567687
551	0.05888772539
552	0.05866454377
553	0.05848566189
554	0.058321042
555	0.05817502567
556	0.05795276271
557	0.05781357362
558	0.05771807521
559	0.05760286222
560	0.05744307707
561	0.05703265083
562	0.05679563661
563	0.056634039
564	0.05644160215
565	0.05622872434
566	0.05607791659
567	0.05578484449
568	0.05568697291
569	0.05556086764
570	0.05543051676
571	0.055223412
572	0.05485856102
573	0.0547407667
574	0.05459165932
575	0.05451583089
576	0.05438220936
577	0.05431593639
578	0.0542109453
579	0.05400941339
580	0.05389418779
581	0.05376809971
582	0.0536606304
583	0.05349656131
584	0.05334099603
585	0.05321808514
586	0.05308658803
587	0.05300436962
588	0.05291321729
589	0.05280813097
590	0.05265976837
591	0.05257614354
592	0.05231616148
593	0.05215591056
594	0.05196020658
595	0.05194401941
596	0.05185820061
597	0.05165766429
598	0.05154799834
599	0.05146762352
600	0.05139318985
601	0.0512363494
602	0.05114042076
603	0.05099187821
604	0.05084304644
605	0.05064760865
606	0.05053291939
607	0.05044422909
608	0.05027616571
609	0.05009565024
610	0.05001185329
611	0.04989448055
612	0.04973966425
613	0.04956828139
614	0.04939245024
615	0.0492699094
616	0.049117426
617	0.04896004705
618	0.0488324764
619	0.04866098286
620	0.04855999181
621	0.0484828204
622	0.04839631553
623	0.04826352718
624	0.04813165426
625	0.04791579633
626	0.04767058622
627	0.04758627699
628	0.04752393988
629	0.04740122113
630	0.0472763711
631	0.04708541392
632	0.04698273989
633	0.04687203941
634	0.04672745247
635	0.04662653653
636	0.04649885672
637	0.04633764007
638	0.0462152009
639	0.04613711289
640	0.0460164134
641	0.04552356879
642	0.04539093082
643	0.04529147159
644	0.04528530284
645	0.045204614
646	0.04511186146
647	0.04501987729
648	0.04486722419
649	0.04478043237
650	0.04473129429
651	0.04467093645
652	0.0445854708
653	0.0444577422
654	0.04432765009
655	0.04424051605
656	0.04415284622
657	0.0440334826
658	0.04395712633
659	0.04380538229
660	0.04364975679
661	0.04354921044
662	0.04345772581
663	0.04337438106
664	0.04329038968
665	0.04319175939
666	0.04306400976
667	0.04293694479
668	0.04288746903
669	0.04277440429
670	0.04267018455
671	0.04252212044
672	0.04242328388
673	0.04234208874
674	0.04228444906
675	0.04221763077
676	0.04214423809
677	0.04209793403
678	0.04198998678
679	0.041853395
680	0.0417383436
681	0.04166930448
682	0.04159603562
683	0.04153416409
684	0.04142355345
685	0.04135211853
686	0.04127163795
687	0.04118550187
688	0.04105826305
689	0.04094793541
690	0.04080372876
691	0.04074962577
692	0.04067309412
693	0.04060171592
694	0.04031739336
695	0.0401290611
696	0.04005357569
697	0.03997474194
698	0.03989539499
699	0.03982225335
700	0.0397022204
701	0.03960713475
702	0.03951578886
703	0.03943162372
704	0.03932071837
705	0.03927404602
706	0.03916767317
707	0.03907457565
708	0.0389720919
709	0.03887847839
710	0.03877248102
711	0.03865506006
712	0.0385354426
713	0.03844047907
714	0.03832174238
715	0.03822328185
716	0.03814118896
717	0.03809506728
718	0.03803530237
719	0.03794578556
720	0.0378918544
721	0.0378242256
722	0.03777812082
723	0.03773237061
724	0.03768160218
725	0.03753934301
726	0.03746769412
727	0.03741494967
728	0.03736575648
729	0.03726164331
730	0.03721380181
731	0.03713670743
732	0.03707806343
733	0.03704709677
734	0.03700132356
735	0.03689916124
736	0.03685452468
737	0.03680796345
738	0.03675968258
739	0.03667849582
740	0.03662044685
741	0.03656653693
742	0.03652856188
743	0.03645752621
744	0.03641705825
745	0.03636838194
746	0.03627101178
747	0.03615158641
748	0.03610643094
749	0.03601896431
750	0.03594693653
751	0.03580489278
752	0.0356559796
753	0.03553462969
754	0.03542890837
755	0.03529202238
756	0.03521616799
757	0.03513428597
758	0.0350738596
759	0.03501662458
760	0.03496842389
761	0.03489365154
762	0.03485004571
763	0.03476580027
764	0.03467789975
765	0.03463610149
766	0.03459183406
767	0.03455543911
768	0.03448630883
769	0.03438651305
770	0.03424288853
771	0.03411895431
772	0.03405101421
773	0.03400693226
774	0.03396121944
775	0.03388654203
776	0.03382210472
777	0.03375487829
778	0.03366724539
779	0.0335751718
780	0.03349063877
781	0.03338918305
782	0.03332435444
783	0.03324798486
784	0.03320368942
785	0.03313439892
786	0.03307631447
787	0.0330150454
788	0.03296838353
789	0.0328717384
790	0.03280710027
791	0.03276844321
792	0.03272754838
793	0.03263530167
794	0.03257624852
795	0.03251195434
796	0.03241455435
797	0.03229142687
798	0.03220021024
799	0.03214237806
800	0.03208721774
801	0.03201129226
802	0.03192487893
803	0.03184565662
804	0.03176220866
805	0.03167810336
806	0.03163535768
807	0.03156558262
808	0.03145379488
809	0.03140575445
810	0.03134228431
811	0.03131055933
812	0.0312330908
813	0.03117737707
814	0.03117457626
815	0.03111412494
816	0.03103763107
817	0.03096431879
818	0.03091709671
819	0.03086454131
820	0.03081479853
821	0.03071193407
822	0.03064248741
823	0.0305424763
824	0.03049556579
825	0.0304754184
826	0.03046395387
827	0.03043503952
828	0.03032405138
829	0.03019347887
830	0.03014656658
831	0.03009190839
832	0.03001873486
833	0.02998160982
834	0.02989853499
835	0.02981775544
836	0.02977720062
837	0.02974995958
838	0.02971685239
839	0.02964890375
840	0.02960864684
841	0.02958055561
842	0.02950845274
843	0.02947585886
844	0.02941849728
845	0.02933609996
846	0.02925414807
847	0.02922682523
848	0.02918752065
849	0.02911614348
850	0.02903563607
851	0.02891758969
852	0.02887618464
853	0.0288097561
854	0.02873382839
855	0.0286258987
856	0.02855990469
857	0.02851103927
858	0.02846392632
859	0.02840284449
860	0.02836565908
861	0.02827721048
862	0.02822433769
863	0.02817008665
864	0.02808296767
865	0.02798249458
866	0.02793160189
867	0.02788928594
868	0.02784532985
869	0.02777622783
870	0.02772989632
871	0.02769627353
872	0.02765472833
873	0.02761113554
874	0.02756316281
875	0.02753156593
876	0.02748882933
877	0.0274321833
878	0.02740529083
879	0.02735700215
880	0.0273040962
881	0.02723591006
882	0.02721286766
883	0.02717505818
884	0.02711502481
885	0.02704501456
886	0.02697759652
887	0.02691878959
888	0.02688750721
889	0.02686283521
890	0.0268243975
891	0.02671357183
892	0.02664682401
893	0.02663296707
894	0.0265643679
895	0.02651859357
896	0.02645739886
897	0.02643578351
898	0.02640936766
899	0.02628575076
